Date,Time,Open,High,Low,Close,Volume
1/20/2017,13:28:00,8367.3,8372,8366.05,8372,30300
1/20/2017,13:29:00,8372,8372,8369,8370.45,12900
1/20/2017,13:30:00,8370.4,8370.4,8367.2,8367.7,18750
1/20/2017,13:31:00,8367.5,8370.85,8366.1,8366.25,14700
1/20/2017,13:32:00,8367.05,8367.05,8362.5,8363.2,21075
1/20/2017,13:33:00,8362.75,8368.65,8362.1,8368,23325
1/20/2017,13:34:00,8368.8,8369.85,8366.2,8369.2,17925
1/20/2017,13:35:00,8369.55,8369.85,8367,8369.85,18750
1/20/2017,13:36:00,8369.85,8371.9,8369,8370,13275
1/20/2017,13:37:00,8370.5,8374.75,8369.2,8373.9,27525
1/20/2017,13:38:00,8374.2,8374.7,8372.2,8373.5,27075
1/20/2017,13:39:00,8374.2,8375.85,8373,8373.9,46800
1/20/2017,13:40:00,8373.5,8373.7,8366.3,8368,70050
1/20/2017,13:41:00,8368,8368.7,8366.75,8368.4,20325
1/20/2017,13:42:00,8365.6,8365.9,8363.3,8364.5,31575
1/20/2017,13:43:00,8364.7,8365.85,8363.25,8364.75,48075
1/20/2017,13:44:00,8364.75,8367.5,8356.7,8367.5,96225
1/20/2017,13:45:00,8368.8,8370,8366.85,8367.75,24375
1/20/2017,13:46:00,8367.95,8368,8365.5,8365.5,26850
1/20/2017,13:47:00,8365.9,8367,8365.15,8366.6,11325
1/20/2017,13:48:00,8366.8,8367.75,8366,8366.25,5550
1/20/2017,13:49:00,8366.25,8368.9,8366,8368.35,6525
1/20/2017,13:50:00,8370,8370.8,8368,8369.55,34500
1/20/2017,13:51:00,8368.8,8369.9,8365.1,8365.1,21225
1/20/2017,13:52:00,8365.85,8368.45,8363.55,8367.9,18600
1/20/2017,13:53:00,8367.6,8368.4,8365.15,8367.1,6900
1/20/2017,13:54:00,8367.1,8368.1,8366.15,8367.45,4800
1/20/2017,13:55:00,8367,8367.4,8361.4,8361.5,20100
1/20/2017,13:56:00,8362.3,8362.85,8358.5,8362,80925
1/20/2017,13:57:00,8362,8366,8362,8364.4,23925
1/20/2017,13:58:00,8364.6,8364.75,8361.35,8361.8,16800
1/20/2017,13:59:00,8361.8,8362,8360,8360.45,20475
1/20/2017,14:00:00,8359.3,8360.85,8357.55,8360.8,59250
1/20/2017,14:01:00,8359.9,8362.9,8359.9,8361,34725
1/20/2017,14:02:00,8361.4,8364.85,8359.8,8364.85,19875
1/20/2017,14:03:00,8364.85,8367,8363.85,8366.5,31950
1/20/2017,14:04:00,8367,8369.05,8366.4,8367,41775
1/20/2017,14:05:00,8367,8367.5,8365.4,8365.4,12000
1/20/2017,14:06:00,8365.2,8366.75,8364.5,8364.5,19200
1/20/2017,14:07:00,8365.7,8367.35,8365.1,8366.95,10725
